source,co2_level,location,timestamp
Shipping,895,Azerbaijan,2024-04-29 00:18:20
Construction,826,Seychelles,2024-04-29 00:18:23
Factory,364,French Guiana,2024-04-29 00:18:26
Vehicle,380,Brunei Darussalam,2024-04-29 00:18:29
Agriculture,922,Iran,2024-04-29 00:18:32
Construction,696,Liechtenstein,2024-04-29 00:18:35
Power Plant,880,Tunisia,2024-04-29 00:18:38
Agriculture,617,Puerto Rico,2024-04-29 00:18:41
Factory,807,Gabon,2024-04-29 00:18:44
Shipping,781,Poland,2024-04-29 00:18:47
Deforestation,613,Sierra Leone,2024-04-29 00:18:50
Vehicle,678,Northern Mariana Islands,2024-04-29 00:18:53
Power Plant,415,Kiribati,2024-04-29 00:18:56
Power Plant,459,Senegal,2024-04-29 00:18:59
Power Plant,664,Sri Lanka,2024-04-29 00:19:02
Factory,714,North Macedonia,2024-04-29 00:19:05
Vehicle,841,Uruguay,2024-04-29 00:19:08
Power Plant,541,French Southern Territories,2024-04-29 00:19:11
Agriculture,824,Saint Kitts and Nevis,2024-04-29 00:19:14
Vehicle,560,Gabon,2024-04-29 00:19:17
Power Plant,909,Martinique,2024-04-29 00:19:20
Power Plant,306,Comoros,2024-04-29 00:19:23
Agriculture,488,Martinique,2024-04-29 00:19:26
Power Plant,833,Guatemala,2024-04-29 00:19:29
Construction,592,Kyrgyz Republic,2024-04-29 00:19:32
Deforestation,666,Nepal,2024-04-29 00:19:35
Agriculture,901,American Samoa,2024-04-29 00:19:38
Deforestation,999,French Polynesia,2024-04-29 00:19:41
Deforestation,407,Tanzania,2024-04-29 00:19:44
Deforestation,485,Zambia,2024-04-29 00:19:47
Construction,857,Ethiopia,2024-04-29 00:19:50
Construction,626,Saint Kitts and Nevis,2024-04-29 00:19:53
Agriculture,423,Martinique,2024-04-29 00:19:56
Agriculture,663,Tokelau,2024-04-29 00:19:59
Power Plant,773,Reunion,2024-04-29 00:20:02
Shipping,514,Cayman Islands,2024-04-29 00:20:05
Construction,822,Palestinian Territory,2024-04-29 00:20:08
Vehicle,307,Cyprus,2024-04-29 00:20:11
Deforestation,713,Svalbard & Jan Mayen Islands,2024-04-29 00:20:14
Shipping,551,American Samoa,2024-04-29 00:20:17
Power Plant,523,Serbia,2024-04-29 00:20:20
Vehicle,968,Chad,2024-04-29 00:20:23
Construction,476,French Southern Territories,2024-04-29 00:20:26
Construction,315,Kyrgyz Republic,2024-04-29 00:20:29
Construction,573,Burkina Faso,2024-04-29 00:20:32
Construction,333,Fiji,2024-04-29 00:20:35
Shipping,621,Solomon Islands,2024-04-29 00:20:38
Factory,646,Djibouti,2024-04-29 00:20:41
Agriculture,508,Isle of Man,2024-04-29 00:20:44
Factory,804,Uruguay,2024-04-29 00:20:47
Shipping,584,Angola,2024-04-29 00:20:50
Factory,995,Ukraine,2024-04-29 00:20:53
Agriculture,480,Qatar,2024-04-29 00:20:56
Deforestation,581,Falkland Islands (Malvinas),2024-04-29 00:20:59
Deforestation,382,Tonga,2024-04-29 00:21:02
Agriculture,355,Japan,2024-04-29 00:21:05
Power Plant,840,Cameroon,2024-04-29 00:21:08
Factory,605,Brazil,2024-04-29 00:21:11
Factory,319,French Guiana,2024-04-29 00:21:14
Shipping,316,Russian Federation,2024-04-29 00:21:17
Factory,743,Cuba,2024-04-29 00:21:20
Deforestation,414,Libyan Arab Jamahiriya,2024-04-29 00:21:23
Agriculture,316,Hong Kong,2024-04-29 00:21:26
Construction,447,Heard Island and McDonald Islands,2024-04-29 00:21:29
Agriculture,867,Dominican Republic,2024-04-29 00:21:32
Shipping,830,Slovenia,2024-04-29 00:21:35
Deforestation,501,Slovakia (Slovak Republic),2024-04-29 00:21:38
Power Plant,319,Gibraltar,2024-04-29 00:21:41
Factory,788,Cameroon,2024-04-29 00:21:44
Deforestation,511,Ukraine,2024-04-29 00:21:47
Construction,633,Swaziland,2024-04-29 00:21:50
Vehicle,534,Equatorial Guinea,2024-04-29 00:21:53
Factory,463,Botswana,2024-04-29 00:21:57
Power Plant,594,Brunei Darussalam,2024-04-29 00:22:00
Message 1
Message 2
Hey
Rahul
hey there
hey there
how are you?
what are you up to?
"{""order_id"": 409"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:18:26""}"
"{""order_id"": 67"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:18:29""}"
"{""order_id"": 306"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:18:32""}"
"{""order_id"": 375"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:18:35""}"
"{""order_id"": 730"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:18:38""}"
"{""order_id"": 959"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:18:41""}"
"{""order_id"": 892"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:31:23""}"
"{""order_id"": 652"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:31:26""}"
"{""order_id"": 97"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:31:29""}"
"{""order_id"": 169"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:31:32""}"
"{""order_id"": 768"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:31:35""}"
"{""order_id"": 223"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:31:38""}"
"{""order_id"": 678"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:31:41""}"
"{""order_id"": 817"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:31:44""}"
"{""order_id"": 519"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:31:47""}"
"{""order_id"": 916"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:31:50""}"
"{""order_id"": 320"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:32:26""}"
"{""order_id"": 667"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:32:29""}"
"{""order_id"": 627"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:32:32""}"
"{""order_id"": 365"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:32:35""}"
"{""order_id"": 323"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:32:38""}"
"{""order_id"": 164"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:32:41""}"
"{""order_id"": 26"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:35:11""}"
"{""order_id"": 816"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:35:14""}"
"{""order_id"": 188"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:17""}"
"{""order_id"": 330"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:35:20""}"
"{""order_id"": 437"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 3"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:23""}"
"{""order_id"": 385"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:26""}"
"{""order_id"": 318"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:35:29""}"
"{""order_id"": 34"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:35:32""}"
"{""order_id"": 306"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:35""}"
"{""order_id"": 865"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:38""}"
"{""order_id"": 342"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:36:56""}"
"{""order_id"": 94"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:36:59""}"
"{""order_id"": 355"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:37:02""}"
"{""order_id"": 495"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:37:05""}"
"{""order_id"": 647"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:37:08""}"
"{""order_id"": 403"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:37:11""}"
"{""order_id"": 301"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:37:14""}"
"{""order_id"": 315"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:37:17""}"
"{""order_id"": 287"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:37:53""}"
"{""order_id"": 166"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:37:56""}"
"{""order_id"": 878"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:37:59""}"
"{""order_id"": 585"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:38:02""}"
"{""order_id"": 35"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:38:05""}"
"{""order_id"": 219"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:38:08""}"
"{""order_id"": 946"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:38:11""}"
"{""order_id"": 963"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:38:14""}"
"{""order_id"": 781"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:38:17""}"
"{""order_id"": 23"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:44:26""}"
"{""order_id"": 210"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:44:29""}"
"{""order_id"": 638"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:44:32""}"
"{""order_id"": 637"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:44:35""}"
"{""order_id"": 955"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 4"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:44:38""}"
"{""order_id"": 165"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:44:41""}"
"{""order_id"": 748"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:44:44""}"
"{""order_id"": 640"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:44:47""}"
"{""order_id"": 457"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:44:50""}"
"{""order_id"": 648"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:44:53""}"
"{""order_id"": 208"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:47:59""}"
"{""order_id"": 750"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:48:02""}"
"{""order_id"": 42"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:05""}"
"{""order_id"": 905"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:08""}"
"{""order_id"": 401"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:48:11""}"
"{""order_id"": 324"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:48:14""}"
"{""order_id"": 502"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:17""}"
"{""order_id"": 664"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:48:20""}"
"{""order_id"": 33"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:48:23""}"
"{""order_id"": 604"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:48:26""}"
"{""order_id"": 587"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:29""}"
"{""order_id"": 923"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:32""}"
"{""order_id"": 172"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 3"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:49:55""}"
"{""order_id"": 477"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:49:58""}"
"{""order_id"": 201"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:01""}"
"{""order_id"": 445"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:04""}"
"{""order_id"": 956"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:50:07""}"
"{""order_id"": 425"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:10""}"
"{""order_id"": 21"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:13""}"
"{""order_id"": 568"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:16""}"
"{""order_id"": 306"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:50:19""}"
"{""order_id"": 48"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:22""}"
"{""order_id"": 718"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:50:25""}"
"{""order_id"": 524"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:28""}"
"{""order_id"": 144"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:31""}"
"{""order_id"": 83"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:34""}"
"{""order_id"": 71"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:37""}"
"{""order_id"": 577"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:40""}"
"{""order_id"": 992"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:43""}"
"{""order_id"": 606"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:46""}"
"{""order_id"": 854"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:50:49""}"
"{""order_id"": 854"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:52""}"
"{""order_id"": 574"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:55:54""}"
"{""order_id"": 451"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:55:57""}"
"{""order_id"": 910"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:56:00""}"
"{""order_id"": 894"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:56:03""}"
"{""order_id"": 233"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:56:06""}"
"{""order_id"": 637"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:56:09""}"
